,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
487,Zeki Çelik\31a62dc7,tr TUR,DF,Lille,fr Ligue 1,25-083,1997,28.0,48.1,60.1,80.0,846.4,329.3,23.2,25.9,89.7,19.5,23.1,84.2,4.75,8.96,53.0,0.07,0.06,0.01,0.75,4.18,1.18,0.36,4.71,Matches
488,Fabien Centonze\3c6bbbab,fr FRA,DF,Metz,fr Ligue 1,26-115,1996,17.6,35.3,43.9,80.4,576.3,251.6,17.8,20.2,88.5,14.7,17.5,83.8,2.22,4.49,49.4,0.06,0.03,0.02,0.57,1.76,0.80,0.34,2.50,Matches
489,Luca Ceppitelli\7d50454d,it ITA,DF,Cagliari,it Serie A,32-273,1989,14.4,41.5,49.7,83.5,845.2,266.7,13.8,15.0,92.1,20.6,22.8,90.5,6.46,10.6,61.2,0.07,0.00,0.07,0.07,1.81,0.28,0.00,2.57,Matches
490,Franco Cervi\5e1028e5,ar ARG,MF,Celta Vigo,es La Liga,27-350,1994,20.0,28.8,38.1,75.5,456.7,112.4,15.8,18.3,86.8,9.80,12.2,80.7,2.30,4.70,48.9,0.15,0.07,0.08,0.60,1.45,0.90,0.35,2.35,Matches
491,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,fr Ligue 1,27-052,1995,15.0,16.8,25.1,67.0,493.5,330.4,3.73,3.73,100.0,6.67,6.67,100.0,6.20,14.5,42.9,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,Matches
492,Damir Ceter\eade5337,co COL,FW,Cagliari,it Serie A,24-190,1997,0.1,10.0,20.0,50.0,550.0,0.00,0.00,10.0,0.0,0.00,0.00,,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
493,Julian Chabot\ae7058f9,de GER,DF,Sampdoria,it Serie A,24-088,1998,5.4,37.4,45.4,82.4,880.7,317.2,9.81,10.9,89.8,18.3,20.0,91.7,8.89,14.1,63.2,0.00,0.00,0.00,0.00,2.78,0.19,0.00,3.52,Matches
494,Julian Chabot\ae7058f9,de GER,DF,Köln,de Bundesliga,24-088,1998,2.3,52.2,65.2,80.0,1192.6,353.9,13.5,17.0,79.5,26.5,30.0,88.4,12.2,18.3,66.7,0.00,0.00,0.00,0.00,2.17,0.43,0.00,2.61,Matches
495,El Chadaille Bitshiabu\2180c761,fr FRA,DF,Paris S-G,fr Ligue 1,16-360,2005,0.1,60.0,60.0,100.0,1250.0,340.0,40.0,40.0,100.0,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,Matches
496,Nassim Chadli\5c61496e,fr FRA,MFDF,Troyes,fr Ligue 1,20-287,2001,1.1,24.5,39.1,62.8,382.7,107.3,13.6,16.4,83.3,8.18,13.6,60.0,2.73,7.27,37.5,0.00,0.00,0.00,0.91,2.73,0.00,0.00,1.82,Matches
497,Kayky Chagas\17734ea0,br BRA,FW,Manchester City,eng Premier League,18-334,2003,0.1,20.0,20.0,100.0,320.0,0.00,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
498,Mehdi Chahiri\1787195f,ma MAR,MF,Strasbourg,fr Ligue 1,25-290,1996,0.2,15.0,35.0,42.9,265.0,110.0,10.0,15.0,66.7,5.00,20.0,25.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,Matches
499,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,eng Premier League,22-310,1999,14.1,63.3,69.5,91.0,1169.5,335.2,24.6,26.2,93.8,32.3,34.2,94.6,6.10,8.44,72.3,0.07,0.01,0.06,0.21,6.17,0.43,0.00,3.40,Matches
500,Calum Chambers\dc6f5bdd,eng ENG,DFMF,Aston Villa,eng Premier League,27-111,1995,6.8,41.0,49.4,83.0,894.1,278.7,11.8,13.4,87.9,22.1,24.4,90.4,7.21,11.5,62.8,0.00,0.00,0.00,0.00,3.53,0.29,0.00,2.35,Matches
501,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,eng Premier League,27-111,1995,1.9,42.6,51.6,82.7,788.9,257.9,18.4,20.0,92.1,18.9,22.1,85.7,5.26,8.95,58.8,0.00,0.05,-0.05,0.53,2.63,0.53,0.53,4.74,Matches
502,Dylan Chambost\dbde4959,fr FRA,MFFW,Troyes,fr Ligue 1,24-265,1997,8.4,44.6,55.5,80.5,827.4,214.3,19.8,22.0,89.7,18.5,21.9,84.2,5.83,9.52,61.3,0.12,0.07,0.05,0.83,3.45,0.83,0.36,4.17,Matches
503,Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,de Bundesliga,32-043,1990,13.5,27.6,41.8,66.0,536.7,244.4,10.1,13.5,75.3,13.7,19.4,70.6,3.48,7.11,49.0,0.00,0.04,-0.04,0.67,1.93,0.59,0.30,2.96,Matches
504,Chapela\9ed40a69,es ESP,MFFW,Cádiz,es La Liga,22-355,1999,4.4,12.7,20.5,62.2,297.3,140.7,3.41,5.23,65.2,5.91,8.18,72.2,2.73,5.45,50.0,0.00,0.05,-0.05,0.45,2.27,0.23,0.00,3.18,Matches
505,Brendan Chardonnet\16aa7d4c,fr FRA,DF,Brest,fr Ligue 1,27-140,1994,28.7,34.2,41.0,83.5,867.8,324.5,7.00,7.74,90.5,16.9,18.0,93.8,9.90,14.5,68.4,0.00,0.01,-0.01,0.35,3.24,0.10,0.03,2.23,Matches
506,Xavier Chavalerin\279ddf6a,fr FRA,MFFW,Troyes,fr Ligue 1,31-065,1991,28.6,26.6,35.1,76.0,478.6,152.0,12.9,15.1,85.8,9.44,12.1,78.0,3.46,6.01,57.6,0.07,0.10,-0.03,0.80,2.31,0.77,0.17,2.52,Matches
507,Xavier Chavalerin\279ddf6a,fr FRA,MFDF,Reims,fr Ligue 1,31-065,1991,2.4,33.3,40.8,81.6,618.3,201.3,15.4,17.1,90.2,12.1,14.6,82.9,4.17,6.25,66.7,0.00,0.04,-0.04,1.25,0.83,1.25,0.42,2.50,Matches
508,Justin Che\3c569f37,us USA,DF,Hoffenheim,de Bundesliga,18-174,2003,0.2,55.0,65.0,84.6,1080.0,350.0,35.0,35.0,100.0,15.0,20.0,75.0,5.00,5.00,100.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,10.0,Matches
509,Chema\7f203b54,es ESP,MF,Getafe,es La Liga,30-069,1992,0.5,18.0,30.0,60.0,434.0,144.0,8.00,8.00,100.0,2.00,6.00,33.3,8.00,16.0,50.0,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,Matches
510,Rayan Cherki\b34c63a5,fr FRA,FWMF,Lyon,fr Ligue 1,18-267,2003,4.9,40.2,52.7,76.4,652.4,186.5,22.9,26.7,85.5,12.0,13.9,86.8,3.67,8.57,42.9,0.20,0.14,0.06,2.45,3.27,1.22,0.20,4.29,Matches
511,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,es La Liga,31-136,1990,5.6,16.6,25.5,65.0,304.1,87.0,7.50,10.2,73.7,6.79,9.64,70.4,1.79,3.93,45.5,0.18,0.05,0.13,0.54,1.07,0.54,0.18,1.96,Matches
512,Daniel Chesters\240c8ab6,eng ENG,MF,West Ham,eng Premier League,20-037,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
513,Giorgio Chiellini\e85fb9b8,it ITA,DF,Juventus,it Serie A,37-270,1984,14.4,52.3,62.0,84.3,1193.6,394.1,11.7,13.2,88.9,27.8,31.1,89.3,11.9,16.4,72.5,0.00,0.02,-0.02,0.49,5.49,0.21,0.00,5.14,Matches
514,Federico Chiesa\b0f7e36c,it ITA,MFFW,Juventus,it Serie A,24-198,1997,9.6,22.8,29.6,77.1,439.7,135.4,10.0,12.0,83.5,8.44,10.5,80.2,3.44,5.52,62.3,0.10,0.13,-0.02,1.77,1.35,1.25,0.63,3.02,Matches
515,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,eng Premier League,25-141,1996,6.0,44.0,57.2,77.0,699.7,191.2,22.2,24.3,91.1,18.2,21.8,83.2,2.67,7.83,34.0,0.17,0.15,0.02,1.67,1.17,1.00,0.17,2.17,Matches
516,Chiquinho\dc6c2f02,pt POR,MFDF,Wolves,eng Premier League,22-095,2000,0.8,32.5,51.3,63.4,572.5,228.8,20.0,23.8,84.2,5.00,10.0,50.0,6.25,11.3,55.6,3.75,0.37,3.38,5.00,2.50,3.75,3.75,5.00,Matches
517,Vlad Chiricheș\c316607a,ro ROU,DF,Sassuolo,it Serie A,32-178,1989,24.6,48.9,53.4,91.6,1014.6,284.3,16.5,17.6,93.8,23.1,24.8,93.0,8.62,9.88,87.2,0.00,0.00,-0.00,0.12,1.22,0.04,0.00,1.63,Matches
518,Pedro Chirivella\68a26d51,es ESP,MF,Nantes,fr Ligue 1,24-353,1997,29.3,49.9,58.8,84.7,1045.3,244.0,18.8,20.0,93.9,20.2,22.4,90.1,9.66,14.1,68.4,0.03,0.04,-0.01,0.85,6.76,0.65,0.10,5.15,Matches
519,Joris Chotard\7909ffa4,fr FRA,MF,Montpellier,fr Ligue 1,20-229,2001,30.6,34.0,40.1,84.8,661.7,174.5,13.4,15.1,88.8,14.1,15.8,89.0,5.69,7.61,74.7,0.03,0.02,0.01,0.36,2.25,0.56,0.13,2.58,Matches
520,Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,eng Premier League,24-222,1997,3.2,40.3,49.4,81.6,711.6,167.5,19.4,21.9,88.6,14.7,17.8,82.5,5.31,7.50,70.8,0.00,0.00,0.00,0.00,0.63,0.00,0.00,1.56,Matches
521,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,eng Premier League,26-031,1996,15.6,67.6,74.4,90.9,1361.7,391.7,22.5,24.0,93.9,34.0,36.4,93.5,10.3,12.8,80.9,0.00,0.01,-0.01,0.32,5.83,0.45,0.06,4.17,Matches
522,Max Christiansen\e7b899b8,de GER,MF,Greuther Fürth,de Bundesliga,25-228,1996,22.3,33.4,40.7,82.0,643.9,155.8,12.2,14.5,84.3,16.2,18.3,88.9,4.30,6.19,69.6,0.00,0.02,-0.02,0.49,2.29,0.18,0.00,2.91,Matches
523,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,eng Premier League,18-124,2004,2.7,28.5,35.6,80.2,439.3,72.2,13.7,16.7,82.2,12.2,13.7,89.2,1.48,1.85,80.0,0.37,0.37,0.00,0.74,0.37,0.00,0.00,0.74,Matches
524,Samuel Chukwueze\b8a642fc,ng NGA,MF,Villarreal,es La Liga,22-354,1999,12.9,24.1,32.9,73.2,406.0,84.0,12.0,15.1,79.5,9.30,12.0,77.4,2.17,3.80,57.1,0.23,0.33,-0.10,2.02,0.47,1.86,0.23,2.71,Matches
525,Víctor Chust\ec1a731e,es ESP,DF,Cádiz,es La Liga,22-067,2000,19.3,34.6,39.9,86.6,786.0,220.3,9.33,10.2,91.4,16.9,18.0,94.0,7.77,10.8,72.1,0.00,0.00,0.00,0.00,1.76,0.05,0.00,1.55,Matches
526,Riccardo Ciervo\da77b60b,it ITA,MFDF,Sampdoria,it Serie A,20-040,2002,2.5,20.8,29.2,71.2,396.4,90.4,7.60,10.0,76.0,8.80,12.0,73.3,3.20,4.80,66.7,0.40,0.08,0.32,1.60,1.60,0.40,0.40,1.20,Matches
527,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,es La Liga,33-019,1989,15.2,18.2,28.0,64.8,691.3,505.6,2.11,2.11,100.0,5.86,5.92,98.9,9.93,19.7,50.3,0.07,0.00,0.07,0.07,0.53,0.00,0.00,0.13,Matches
528,Pathé Ciss\9a0408b6,sn SEN,MF,Rayo Vallecano,es La Liga,28-056,1994,11.0,36.3,43.7,83.0,744.0,202.7,14.5,16.5,87.9,13.8,15.5,89.4,7.00,10.0,70.0,0.09,0.05,0.05,0.36,4.18,0.27,0.00,3.73,Matches
529,Moustapha Cissé\ee3c4b3f,gn GUI,FW,Atalanta,it Serie A,18-239,2003,0.4,17.5,27.5,63.6,235.0,32.5,10.0,12.5,80.0,5.00,10.0,50.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,Matches
530,Giorgio Cittadini\e4ba67f2,it ITA,DF,Atalanta,it Serie A,20-023,2002,0.0,1,2,50.0,22,21,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
531,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,eng Premier League,32-227,1989,11.3,24.4,30.8,79.3,471.9,140.0,7.96,9.12,87.4,13.2,15.0,88.2,2.83,5.84,48.5,0.09,0.03,0.06,0.35,1.06,0.09,0.09,1.33,Matches
532,Alexis Claude-Maurice\741418c3,fr FRA,MF,Nice,fr Ligue 1,23-339,1998,2.3,38.3,43.5,88.0,613.9,125.2,22.2,23.9,92.7,10.9,12.6,86.2,3.48,4.78,72.7,0.87,0.35,0.52,3.48,1.74,1.30,0.43,2.61,Matches
533,Jonathan Clauss\5219ab4a,fr FRA,DF,Lens,fr Ligue 1,29-228,1992,31.8,37.0,55.2,67.0,722.6,327.6,15.6,19.2,81.3,14.9,20.2,74.1,5.88,13.8,42.5,0.31,0.21,0.10,2.11,2.23,1.54,0.57,4.81,Matches
534,Carlos Clerc\33a61a52,es ESP,DF,Levante,es La Liga,30-079,1992,16.8,40.1,52.0,77.1,679.2,270.4,19.5,21.7,90.1,16.4,19.8,83.1,3.15,7.86,40.2,0.00,0.05,-0.05,0.65,3.04,0.83,0.18,4.17,Matches
535,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,eng Premier League,32-272,1989,17.0,25.5,34.8,73.1,432.5,131.3,12.6,14.8,85.7,8.88,11.2,79.5,2.94,7.18,41.0,0.12,0.09,0.03,1.06,2.29,0.59,0.24,2.35,Matches
536,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,eng Premier League,31-036,1991,12.0,37.7,48.0,78.5,651.5,228.8,17.3,19.0,91.2,17.4,21.3,82.0,2.50,6.17,40.5,0.08,0.04,0.04,0.50,1.58,0.67,0.33,1.42,Matches
537,Conor Coady\2928dca2,eng ENG,DF,Wolves,eng Premier League,29-075,1993,34.8,38.6,43.0,89.8,958.4,270.9,5.80,6.26,92.7,22.4,23.4,95.7,10.1,12.7,79.2,0.00,0.00,0.00,0.03,1.26,0.11,0.00,1.15,Matches
538,Marcus Coco\3010aefb,fr FRA,FWMF,Nantes,fr Ligue 1,25-321,1996,8.5,20.5,29.1,70.4,304.5,100.8,11.4,14.6,78.2,7.76,9.88,78.6,0.94,3.18,29.6,0.12,0.08,0.04,0.71,1.18,0.94,0.59,1.53,Matches
539,Coke\6d8f8441,es ESP,DFMF,Levante,es La Liga,35-015,1987,0.2,95.0,105.0,90.5,1920.0,810.0,40.0,45.0,88.9,45.0,50.0,90.0,10.0,10.0,100.0,0.00,0.00,0.00,5.00,10.0,0.00,0.00,10.0,Matches
540,Séamus Coleman\0420d84f,ie IRL,DF,Everton,eng Premier League,33-212,1988,26.6,30.9,42.4,73.0,549.5,258.9,14.6,16.7,87.6,12.6,17.3,72.8,3.46,7.29,47.4,0.00,0.04,-0.04,0.41,3.08,0.83,0.34,2.97,Matches
541,Álex Collado\85dace26,es ESP,MFFW,Granada,es La Liga,23-019,1999,9.4,24.8,32.8,75.6,436.7,104.0,12.3,14.3,86.6,8.72,10.4,83.7,3.19,6.06,52.6,0.11,0.11,0.00,1.28,2.45,0.74,0.21,2.13,Matches
542,Ebrima Colley\bf356094,gm GAM,FWMF,Spezia,it Serie A,22-099,2000,4.4,19.8,28.9,68.5,363.9,117.3,8.64,10.2,84.4,8.86,12.5,70.9,2.27,5.45,41.7,0.00,0.36,-0.36,1.36,1.36,1.82,0.68,3.18,Matches
543,Omar Colley\8b95acda,gm GAM,DF,Sampdoria,it Serie A,29-199,1992,29.5,39.8,47.3,84.0,842.5,248.4,10.3,11.5,89.4,22.0,24.1,91.5,6.54,10.5,62.5,0.00,0.00,0.00,0.00,2.44,0.03,0.00,2.44,Matches
544,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,eng Premier League,21-011,2001,15.6,24.8,34.4,72.1,550.2,201.7,7.18,9.10,78.9,12.1,14.7,81.7,5.19,9.74,53.3,0.00,0.03,-0.03,0.19,2.18,0.13,0.00,2.05,Matches
545,Kingsley Coman\042e8a49,fr FRA,FWDF,Bayern Munich,de Bundesliga,25-332,1996,15.1,37.2,47.4,78.4,675.9,153.0,16.1,19.1,84.4,16.1,20.0,80.5,4.11,6.16,66.7,0.13,0.21,-0.08,1.72,1.19,2.72,1.26,3.71,Matches
546,Eray Cömert\15937e17,ch SUI,DF,Valencia,es La Liga,24-096,1998,3.8,29.7,37.6,79.0,695.8,209.7,6.84,7.63,89.7,16.6,17.9,92.6,6.05,11.6,52.3,0.00,0.00,0.00,0.00,2.37,0.00,0.00,1.58,Matches
547,Santi Comesaña\5ae499d0,es ESP,MF,Rayo Vallecano,es La Liga,25-218,1996,28.5,41.8,50.1,83.3,802.5,244.0,16.9,19.8,85.5,17.8,20.2,88.2,5.96,7.89,75.6,0.07,0.08,-0.01,0.91,4.53,0.70,0.11,5.09,Matches
548,Diego Conde\4eae5bc4,es ESP,GK,Getafe,es La Liga,23-195,1998,0.1,0.00,60.0,0.0,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,60.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
549,Aaron Connolly\27c01749,ie IRL,FW,Brighton,eng Premier League,22-103,2000,1.7,8.82,10.6,83.3,124.7,5.88,5.29,6.47,81.8,3.53,4.12,85.7,0.00,0.00,,0.00,0.24,-0.24,0.59,0.00,0.00,0.00,0.00,Matches
550,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,it Serie A,35-104,1987,35.0,31.4,39.9,78.6,876.2,471.7,6.89,6.97,98.8,12.1,12.3,98.1,12.0,20.3,59.4,0.00,0.00,-0.00,0.03,0.17,0.03,0.00,0.00,Matches
551,Abdu Conté\cfa49cc1,pt POR,DF,Troyes,fr Ligue 1,24-048,1998,13.4,31.2,42.2,73.9,532.9,203.2,15.7,18.2,86.1,12.8,16.6,76.7,2.54,5.00,50.7,0.07,0.16,-0.09,0.82,1.64,0.60,0.37,2.39,Matches
552,Andrea Conti\8fef5412,it ITA,DF,Milan,it Serie A,28-070,1994,0.1,40.0,50.0,80.0,670.0,60.0,30.0,30.0,100.0,0.00,10.0,0.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
553,Andrea Conti\8fef5412,it ITA,DFMF,Sampdoria,it Serie A,28-070,1994,2.6,23.5,30.0,78.2,353.5,145.0,15.0,17.3,86.7,6.15,9.62,64.0,2.31,2.69,85.7,0.00,0.00,0.00,0.00,1.15,0.38,0.00,1.15,Matches
554,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,eng Premier League,30-254,1991,17.2,49.5,57.8,85.5,1080.4,333.7,13.1,14.5,90.4,27.7,29.7,93.3,8.20,12.7,64.7,0.06,0.01,0.05,0.17,1.98,0.00,0.00,2.38,Matches
555,Lucas Copado\8356931a,de GER,FW,Bayern Munich,de Bundesliga,18-121,2004,0.2,20.0,30.0,66.7,170.0,80.0,15.0,25.0,60.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
556,Diego Coppola\22ae86f9,it ITA,DF,Hellas Verona,it Serie A,18-134,2003,1.8,27.2,33.3,81.7,563.3,197.2,10.0,11.7,85.7,10.6,13.3,79.2,6.11,7.78,78.6,0.00,0.00,0.00,0.00,1.67,0.00,0.00,2.78,Matches
557,Francis Coquelin\a6951bf8,fr FRA,MF,Villarreal,es La Liga,30-363,1991,8.3,49.3,55.3,89.1,850.1,191.8,23.0,25.4,90.5,19.0,20.5,92.9,5.42,6.51,83.3,0.12,0.08,0.04,1.20,5.18,1.33,0.00,5.18,Matches
558,Sébastien Corchia\0e7ccfc4,fr FRA,DF,Nantes,fr Ligue 1,31-191,1990,13.5,26.0,39.0,66.7,467.0,241.9,10.7,12.7,83.7,12.6,17.5,72.0,2.22,6.30,35.3,0.22,0.04,0.19,0.74,2.37,0.67,0.44,3.78,Matches
559,Sergio Córdova\229cd98a,ve VEN,FWMF,Augsburg,de Bundesliga,24-275,1997,3.6,10.0,15.6,64.3,159.2,37.2,6.39,8.33,76.7,2.50,5.28,47.4,0.83,1.39,60.0,0.00,0.03,-0.03,0.56,1.11,0.28,0.00,1.39,Matches
560,Jack Cork\74e12f1e,eng ENG,MF,Burnley,eng Premier League,32-320,1989,15.6,23.3,31.1,74.8,414.7,105.5,11.4,14.6,78.4,7.82,9.94,78.7,3.46,4.94,70.1,0.00,0.01,-0.01,0.32,2.37,0.19,0.13,1.86,Matches
561,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,eng Premier League,25-226,1996,16.7,14.7,22.6,65.3,218.7,54.3,8.32,11.6,72.0,4.19,5.69,73.7,1.14,3.05,37.3,0.06,0.08,-0.02,0.72,0.48,0.72,0.30,1.26,Matches
562,Maxwel Cornet\beb391dd,ci CIV,DFMF,Lyon,fr Ligue 1,25-226,1996,0.7,47.1,57.1,82.5,752.9,238.6,24.3,27.1,89.5,20.0,21.4,93.3,1.43,7.14,20.0,0.00,0.14,-0.14,1.43,1.43,1.43,1.43,0.00,Matches
563,Jesús Corona\fb938d24,mx MEX,FWDF,Sevilla,es La Liga,29-125,1993,10.5,35.0,45.3,77.3,576.0,134.7,19.5,22.3,87.6,11.0,14.1,78.4,3.43,6.38,53.7,0.38,0.27,0.11,1.62,1.90,1.14,0.29,2.76,Matches
564,Ángel Correa\01eb744d,ar ARG,FWMF,Atlético Madrid,es La Liga,27-063,1995,19.9,23.9,32.4,73.9,336.2,75.5,14.6,17.7,82.4,6.43,8.54,75.3,1.36,2.71,50.0,0.25,0.18,0.08,1.21,1.46,1.01,0.10,2.36,Matches
565,Joaquín Correa\45b9b619,ar ARG,FW,Inter,it Serie A,27-271,1994,10.4,24.5,29.6,82.8,358.5,79.1,14.3,17.1,83.7,7.69,8.85,87.0,1.44,1.73,83.3,0.10,0.13,-0.03,1.54,1.54,1.63,0.10,3.27,Matches
566,Thierry Correia\c78b352d,pt POR,DF,Valencia,es La Liga,23-063,1999,14.0,28.8,42.1,68.4,586.2,262.1,10.8,13.6,79.5,13.4,17.4,76.6,4.36,9.29,46.9,0.00,0.05,-0.05,0.43,2.71,0.64,0.21,3.71,Matches
567,Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,de Bundesliga,28-302,1993,8.1,26.7,38.9,68.6,520.2,262.8,9.14,12.0,76.3,13.2,18.1,72.8,3.95,7.04,56.1,0.00,0.02,-0.02,0.37,1.73,0.86,0.37,4.57,Matches
568,David Pereira da Costa\59948ef7,pt POR,MFFW,Lens,fr Ligue 1,21-126,2001,14.5,40.3,48.4,83.2,626.0,160.6,21.7,24.1,90.3,14.8,16.7,88.4,2.76,5.17,53.3,0.34,0.22,0.12,2.34,3.79,1.59,0.28,4.28,Matches
569,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,eng Premier League,28-119,1994,0.2,20.0,20.0,100.0,325.0,0.00,15.0,15.0,100.0,5.00,5.00,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
570,Hélder Costa\f13d02a6,ao ANG,MFFW,Valencia,es La Liga,28-119,1994,12.4,15.2,23.6,64.2,239.5,74.4,8.31,11.3,73.6,5.73,8.15,70.3,0.81,2.58,31.3,0.08,0.14,-0.06,1.29,0.97,1.05,0.56,1.69,Matches
571,Jaume Costa\808d48f3,es ESP,DF,Mallorca,es La Liga,34-054,1988,17.7,38.4,52.4,73.3,666.0,284.0,18.2,20.9,87.3,16.5,21.4,77.0,3.28,8.19,40.0,0.17,0.11,0.06,1.07,1.92,1.47,0.56,4.07,Matches
572,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,fr Ligue 1,34-312,1987,25.0,24.9,36.0,69.3,863.3,541.7,3.32,3.36,98.8,9.00,9.08,99.1,12.6,23.5,53.5,0.00,0.00,0.00,0.04,0.28,0.04,0.00,0.08,Matches
573,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,eng Premier League,29-262,1992,22.7,40.9,58.9,69.5,696.7,324.8,19.3,22.9,84.2,17.6,23.7,74.0,3.35,9.52,35.2,0.18,0.10,0.07,0.75,2.69,1.32,0.70,4.58,Matches
574,Kalifa Coulibaly\9980269a,ml MLI,FW,Nantes,fr Ligue 1,30-263,1991,7.6,12.5,20.3,61.7,152.2,33.8,9.21,13.3,69.3,2.24,4.61,48.6,0.53,0.66,80.0,0.00,0.14,-0.14,1.05,0.53,0.79,0.13,1.32,Matches
575,Lassana Coulibaly\85a44ecc,ml MLI,MF,Salernitana,it Serie A,26-031,1996,24.9,26.7,32.9,81.3,452.0,124.8,13.1,15.2,86.2,10.5,12.3,85.3,2.69,3.86,69.8,0.00,0.01,-0.01,0.36,2.57,0.44,0.04,2.45,Matches
576,Mamadou Coulibaly\c976160c,sn SEN,MFFW,Salernitana,it Serie A,23-097,1999,8.3,25.5,34.3,74.4,447.8,131.6,11.8,14.3,82.4,10.4,12.7,81.9,2.89,4.58,63.2,0.00,0.02,-0.02,0.60,2.89,0.24,0.12,2.65,Matches
577,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,de Bundesliga,21-082,2001,11.9,21.8,28.6,76.2,321.9,70.7,12.7,15.0,84.8,7.73,10.3,74.8,0.92,1.68,55.0,0.08,0.06,0.03,0.59,0.84,0.42,0.08,1.26,Matches
578,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,es La Liga,30-000,1992,34.0,25.5,31.4,81.2,648.1,342.3,4.71,4.71,100.0,14.2,14.2,99.8,6.50,12.4,52.5,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.03,Matches
579,Philippe Coutinho\0ef89a37,br BRA,MFFW,Barcelona,es La Liga,29-333,1992,5.6,49.1,58.6,83.8,762.3,184.5,29.6,31.3,94.9,13.0,16.6,78.5,4.64,7.86,59.1,0.00,0.05,-0.05,0.36,4.11,2.32,0.36,4.64,Matches
580,Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,eng Premier League,29-333,1992,12.8,33.3,41.2,80.8,562.7,147.0,17.7,20.2,87.3,11.1,13.2,84.0,3.67,5.55,66.2,0.23,0.24,-0.01,1.88,4.22,0.86,0.16,3.83,Matches
581,Nicolas Cozza\8f325097,fr FRA,DF,Montpellier,fr Ligue 1,23-123,1999,29.0,37.3,45.6,81.7,754.2,228.2,11.8,13.5,87.5,19.2,22.2,86.6,5.55,8.45,65.7,0.07,0.03,0.03,0.34,1.45,0.38,0.14,2.38,Matches
582,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,it Serie A,27-317,1994,33.0,21.5,35.0,61.6,817.2,598.7,3.18,3.21,99.1,6.21,6.39,97.2,12.0,25.3,47.6,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,Matches
583,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,eng Premier League,32-147,1989,28.3,55.9,69.6,80.3,1014.1,425.0,25.0,27.0,92.5,24.2,27.5,88.2,6.11,12.8,47.7,0.11,0.11,-0.01,1.24,4.28,0.85,0.28,5.34,Matches
